ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
abalone-ternary,KMeans,2,0.010281790351775896,-0.0015558545687557287,0.009403680347627723,0.029252052307128906
abalone-ternary,KMeans,3,0.06832464659062674,0.05326663125799644,0.08031555005728166,0.06143593788146973
abalone-ternary,KMeans,4,0.07700833648530767,0.056125981176983405,0.09673173316546557,0.08922505378723145
abalone-ternary,KMeans,5,0.0693946023966573,0.043675983132796026,0.09788449860701276,0.14162111282348633
abalone-ternary,KMeans,6,0.06975385015712979,0.042327219211296126,0.10560002843046876,0.16365718841552734
abalone-ternary,KMeans,7,0.0769776960609161,0.04408084056506849,0.12007193202750358,0.2474970817565918
abalone-ternary,KMeans,8,0.07855783314929188,0.040060276543368176,0.12933194228333025,0.22403287887573242
abalone-ternary,KMeans,9,0.08090618343619412,0.039655017190521974,0.13559305733258392,0.2861907482147217
abalone-ternary,KMeans,10,0.07983142551556346,0.03348478990890117,0.13945869479326445,0.26708507537841797
abalone-ternary,KMeans,12,0.08229888311373457,0.030341167267503914,0.15085106877407833,0.40074992179870605
abalone-ternary,KMeans,14,0.08086972977219964,0.028856639132992818,0.15596440087164196,0.3941621780395508
abalone-ternary,KMeans,16,0.0785753709407755,0.025200139028951175,0.15527553313574174,0.37186312675476074
abalone-ternary,KMeans,32,0.08333836950668806,0.01622935561357438,0.19352906839851142,0.7114970684051514
abalone-ternary,KMeans,64,0.08219920174536552,0.008673467106366566,0.2172902040195041,1.118096113204956
