,Iteration,Time,Fitness,Restarts,max_iters,current_restart
0,0,0.000135175000000487,40.0,1,8192,0
1,1,0.0006180749999984414,42.0,1,8192,0
2,2,0.006226793999999813,42.0,1,8192,0
3,3,0.011929986999998476,42.0,1,8192,0
4,4,0.012075903999999582,42.0,1,8192,0
5,5,0.019817321999997972,49.0,1,8192,0
6,6,0.019929676000000285,51.0,1,8192,0
7,7,0.02002537999999987,51.0,1,8192,0
8,8,0.020096897999998475,55.0,1,8192,0
9,9,0.027686725999998885,55.0,1,8192,0
10,10,0.02796667599999836,55.0,1,8192,0
11,11,0.028155120999997507,55.0,1,8192,0
12,12,0.028336605999999875,55.0,1,8192,0
13,13,0.02850242799999947,55.0,1,8192,0
14,14,0.028707713999999385,55.0,1,8192,0
15,15,0.028832942999997613,55.0,1,8192,0
16,16,0.028932253999997215,55.0,1,8192,0
17,17,0.03635278999999869,55.0,1,8192,0
18,18,0.03643712499999907,55.0,1,8192,0
19,19,0.036516818999999145,55.0,1,8192,0
20,20,0.03661293299999713,55.0,1,8192,0
21,21,0.03671965899999918,55.0,1,8192,0
22,22,0.036844010999999455,55.0,1,8192,0
23,23,0.03696115400000011,55.0,1,8192,0
24,24,0.037033195999999435,55.0,1,8192,0
25,25,0.03709928900000037,55.0,1,8192,0
26,26,0.037187698000000324,55.0,1,8192,0
27,27,0.03728970699999934,55.0,1,8192,0
28,28,0.037410182999998653,55.0,1,8192,0
29,29,0.03751812899999862,55.0,1,8192,0
30,30,0.03759369999999862,55.0,1,8192,0
31,31,0.03771907499999827,55.0,1,8192,0
32,32,0.03782799899999745,55.0,1,8192,0
33,33,0.045767717000000374,55.0,1,8192,0
34,34,0.04592559800000018,55.0,1,8192,0
35,35,0.04606178999999955,55.0,1,8192,0
36,36,0.04633603099999917,55.0,1,8192,0
37,37,0.046497925999997136,55.0,1,8192,0
38,38,0.046625174999999075,55.0,1,8192,0
39,39,0.04692779799999869,55.0,1,8192,0
40,40,0.04715046399999778,55.0,1,8192,0
41,41,0.04733617299999793,55.0,1,8192,0
42,42,0.04751425399999931,55.0,1,8192,0
43,43,0.047689514999998295,55.0,1,8192,0
44,44,0.0478717799999977,55.0,1,8192,0
45,45,0.048061123000000094,55.0,1,8192,0
46,46,0.04824149799999944,55.0,1,8192,0
47,47,0.04840038200000052,55.0,1,8192,0
48,48,0.04854627899999997,55.0,1,8192,0
49,49,0.048679555999999735,55.0,1,8192,0
50,50,0.04880355399999914,55.0,1,8192,0
51,51,0.04892580299999949,55.0,1,8192,0
52,52,0.049054398999999194,55.0,1,8192,0
53,53,0.04918312199999875,55.0,1,8192,0
54,54,0.04930558699999921,55.0,1,8192,0
55,55,0.0494304139999997,55.0,1,8192,0
56,56,0.04956164100000038,55.0,1,8192,0
57,57,0.04968732299999701,55.0,1,8192,0
58,58,0.04981281799999948,55.0,1,8192,0
59,59,0.04994345699999769,55.0,1,8192,0
60,60,0.05011151099999722,55.0,1,8192,0
61,61,0.050243127999998194,55.0,1,8192,0
62,62,0.05036210599999791,55.0,1,8192,0
63,63,0.050530856999998264,55.0,1,8192,0
64,64,0.05066081300000036,55.0,1,8192,0
65,65,0.05735529300000053,55.0,1,8192,0
66,66,0.05749138499999873,55.0,1,8192,0
67,67,0.05760467500000033,55.0,1,8192,0
68,68,0.05771280899999809,55.0,1,8192,0
69,69,0.05781745699999874,55.0,1,8192,0
